Date,AAII Bullish,AAII Neutral,AAII Bearish,8-week Moving Average,,
3-27-97,27.0%,40.0%,33.0%,42.38%,,
4-3-97,29.0%,40.0%,31.0%,40.13%,,
4-10-97,26.0%,37.0%,37.0%,37.75%,,
4-17-97,31.0%,41.0%,28.0%,36.13%,,
4-24-97,28.0%,40.0%,32.0%,31.75%,,
5-1-97,27.0%,44.0%,29.0%,29.75%,,
5-8-97,30.0%,44.0%,26.0%,29.25%,,
5-15-97,41.0%,36.0%,23.0%,29.88%,,
5-22-97,40.0%,35.0%,25.0%,31.50%,,
5-29-97,40.0%,40.0%,20.0%,32.88%,,
6-5-97,52.0%,33.0%,15.0%,36.13%,,
6-12-97,49.0%,35.0%,16.0%,38.38%,,
6-19-97,59.0%,26.0%,15.0%,42.25%,,
6-26-97,52.0%,25.0%,23.0%,45.38%,,
7-3-97,45.0%,30.0%,25.0%,47.25%,,
7-10-97,49.0%,33.0%,18.0%,48.25%,,
7-17-97,54.0%,30.0%,16.0%,50.00%,,
7-24-97,53.0%,25.0%,22.0%,51.63%,,
7-31-97,48.0%,26.0%,26.0%,51.13%,,
8-7-97,49.0%,28.0%,23.0%,51.13%,,
8-14-97,49.0%,30.0%,21.0%,49.88%,,
8-21-97,47.0%,33.0%,20.0%,49.25%,,
8-28-97,50.0%,28.0%,22.0%,49.88%,,
9-4-97,37.0%,38.0%,25.0%,48.38%,,
9-11-97,42.0%,36.0%,22.0%,46.88%,,
9-18-97,40.0%,44.0%,16.0%,45.25%,,
9-25-97,39.0%,42.0%,19.0%,44.13%,,
10-2-97,38.0%,43.0%,19.0%,42.75%,,
10-9-97,43.0%,43.0%,14.0%,42.00%,,
10-16-97,43.0%,36.0%,21.0%,41.50%,,
10-23-97,40.0%,46.0%,14.0%,40.25%,,
10-30-97,41.0%,36.0%,23.0%,40.75%,,
11-6-97,38.0%,37.0%,25.0%,40.25%,,
11-13-97,45.0%,38.0%,17.0%,40.88%,,
11-20-97,40.0%,38.0%,22.0%,41.00%,,
11-26-97,40.0%,40.0%,20.0%,41.25%,,
12-4-97,49.0%,33.0%,18.0%,42.00%,,
12-11-97,46.0%,37.0%,17.0%,42.38%,,
12-18-97,40.0%,41.0%,19.0%,42.38%,,
12-24-97,41.0%,36.0%,23.0%,42.38%,,
12-31-97,34.0%,35.0%,31.0%,41.88%,,
1-8-98,42.0%,40.0%,18.0%,41.50%,,
1-16-98,38.0%,45.0%,17.0%,41.25%,,
1-23-98,31.0%,39.0%,30.0%,40.13%,,
1-30-98,38.0%,42.0%,20.0%,38.75%,,
2-5-98,30.0%,45.0%,25.0%,36.75%,,
2-12-98,45.0%,36.0%,19.0%,37.38%,,
2-19-98,42.0%,43.0%,15.0%,37.50%,,
2-26-98,53.0%,33.0%,14.0%,39.88%,,
3-5-98,53.0%,34.0%,13.0%,41.25%,,
3-12-98,44.0%,36.0%,20.0%,42.00%,,
3-19-98,40.0%,38.0%,22.0%,43.13%,,
3-26-98,45.0%,35.0%,20.0%,44.00%,,
4-2-98,46.0%,32.0%,22.0%,46.00%,,
4-9-98,41.0%,36.0%,23.0%,45.50%,,
4-16-98,53.0%,32.0%,15.0%,46.88%,,
4-23-98,40.0%,38.0%,22.0%,45.25%,,
4-30-98,44.0%,31.0%,25.0%,44.13%,,
5-7-98,43.0%,34.0%,23.0%,44.00%,,
5-14-98,33.0%,41.0%,26.0%,43.13%,,
5-21-98,38.0%,39.0%,23.0%,42.25%,,
5-28-98,34.0%,40.0%,26.0%,40.75%,,
6-4-98,25.0%,44.0%,31.0%,38.75%,,
6-11-98,27.0%,49.0%,24.0%,35.50%,,
6-18-98,29.0%,38.0%,33.0%,34.13%,,
6-25-98,28.0%,44.0%,28.0%,32.13%,,
7-2-98,33.0%,48.0%,19.0%,30.88%,,
7-9-98,36.0%,44.0%,20.0%,31.25%,,
7-16-98,35.0%,44.0%,21.0%,30.88%,,
7-23-98,37.0%,39.0%,24.0%,31.25%,,
7-30-98,44.0%,36.0%,20.0%,33.63%,,
8-6-98,30.0%,44.0%,26.0%,34.00%,,
8-13-98,27.0%,38.0%,35.0%,33.75%,,
8-20-98,25.0%,42.0%,33.0%,33.38%,,
8-27-98,23.0%,32.0%,45.0%,32.13%,,
9-3-98,23.0%,37.0%,40.0%,30.50%,,
9-10-98,29.0%,31.0%,40.0%,29.75%,,
9-17-98,34.0%,35.0%,31.0%,29.38%,,
9-24-98,34.0%,38.0%,28.0%,28.13%,,
10-1-98,32.0%,35.0%,33.0%,28.38%,,
10-8-98,25.0%,43.0%,32.0%,28.13%,,
10-15-98,25.0%,34.0%,41.0%,28.13%,,
10-22-98,32.0%,35.0%,33.0%,29.25%,,
10-29-98,43.0%,36.0%,21.0%,31.75%,,
11-5-98,38.0%,42.0%,20.0%,32.88%,,
11-12-98,50.0%,36.0%,14.0%,34.88%,,
11-19-98,40.0%,42.0%,18.0%,35.63%,,
11-25-98,48.0%,35.0%,17.0%,37.63%,,
12-3-98,49.0%,30.0%,21.0%,40.63%,,
12-10-98,44.0%,30.0%,26.0%,43.00%,,
12-17-98,41.0%,34.0%,25.0%,44.13%,,
12-23-98,34.0%,34.0%,32.0%,43.00%,,
12-31-98,41.0%,37.0%,22.0%,43.38%,,
1-7-99,38.0%,39.0%,23.0%,41.88%,,
1-14-99,51.0%,28.0%,21.0%,43.25%,,
1-21-99,56.0%,24.0%,20.0%,44.25%,,
1-28-99,47.0%,33.0%,20.0%,44.00%,,
2-4-99,48.0%,38.0%,14.0%,44.50%,,
2-11-99,48.0%,35.0%,17.0%,45.38%,,
2-18-99,37.0%,39.0%,24.0%,45.75%,,
2-25-99,37.0%,39.0%,24.0%,45.25%,,
3-4-99,36.0%,45.0%,19.0%,45.00%,,
3-11-99,37.0%,42.0%,21.0%,43.25%,,
3-18-99,48.0%,31.0%,21.0%,42.25%,,
3-25-99,38.0%,33.0%,29.0%,41.13%,,
4-1-99,40.0%,35.0%,25.0%,40.13%,,
4-8-99,36.0%,38.0%,26.0%,38.63%,,
4-15-99,41.0%,31.0%,28.0%,39.13%,,
4-22-99,38.0%,32.0%,30.0%,39.25%,,
4-29-99,41.0%,32.0%,27.0%,39.88%,,
5-6-99,54.0%,32.0%,14.0%,42.00%,,
5-13-99,43.0%,31.0%,26.0%,41.38%,,
5-20-99,43.0%,31.0%,26.0%,42.00%,,
5-27-99,38.0%,42.0%,20.0%,41.75%,,
6-3-99,32.0%,36.0%,32.0%,41.25%,,
6-10-99,32.0%,40.0%,28.0%,40.13%,,
6-17-99,38.0%,35.0%,27.0%,40.13%,,
6-24-99,30.0%,39.0%,31.0%,38.75%,,
7-1-99,35.0%,38.0%,27.0%,36.38%,,
7-8-99,43.0%,36.0%,21.0%,36.38%,,
7-15-99,54.0%,28.0%,18.0%,37.75%,,
7-22-99,55.0%,23.0%,22.0%,39.88%,,
7-29-99,42.0%,38.0%,20.0%,41.13%,,
8-5-99,30.0%,46.0%,24.0%,40.88%,,
8-12-99,30.0%,40.0%,30.0%,39.88%,,
8-19-99,31.0%,46.0%,23.0%,40.00%,,
8-26-99,35.0%,40.0%,25.0%,40.00%,,
9-2-99,44.0%,38.0%,18.0%,40.13%,,
9-9-99,37.0%,38.0%,25.0%,38.00%,,
9-16-99,36.0%,43.0%,21.0%,35.63%,,
9-23-99,36.0%,36.0%,28.0%,34.88%,,
9-30-99,35.0%,42.0%,23.0%,35.50%,,
10-7-99,34.0%,38.0%,28.0%,36.00%,,
10-14-99,42.0%,39.0%,19.0%,37.38%,,
10-21-99,38.0%,37.0%,25.0%,37.75%,,
10-28-99,38.0%,38.0%,24.0%,37.00%,,
11-4-99,43.0%,35.0%,22.0%,37.75%,,
11-11-99,48.0%,26.0%,26.0%,39.25%,,
11-18-99,46.0%,32.0%,22.0%,40.50%,,
11-24-99,55.0%,28.0%,17.0%,43.00%,,
12-2-99,62.0%,25.0%,13.0%,46.50%,,
12-9-99,62.0%,27.0%,11.0%,49.00%,,
12-16-99,54.0%,26.0%,20.0%,51.00%,,
12-23-99,52.0%,31.0%,17.0%,52.75%,,
12-30-99,60.0%,25.0%,15.0%,54.88%,,
1-6-00,75.0%,11.7%,13.3%,58.25%,,
1-13-00,59.3%,22.2%,18.5%,59.91%,,
1-20-00,57.1%,25.0%,17.9%,60.18%,,
1-27-00,53.7%,25.9%,20.4%,59.14%,,
2-3-00,51.1%,24.4%,24.4%,57.78%,,
2-10-00,41.9%,30.2%,27.9%,56.26%,,
2-17-00,27.3%,48.5%,24.2%,53.17%,,
2-24-00,41.4%,27.6%,31.0%,50.84%,,
3-2-00,36.7%,40.0%,23.3%,46.05%,,
3-8-00,58.3%,25.0%,16.7%,45.93%,,
3-16-00,50.0%,23.3%,26.7%,45.04%,,
3-23-00,65.7%,14.3%,20.0%,46.54%,,
3-30-00,38.9%,11.1%,50.0%,45.01%,,
4-6-00,45.8%,33.3%,20.8%,45.51%,,
4-13-00,51.9%,18.5%,29.6%,48.58%,,
4-20-00,63.7%,13.7%,22.6%,51.38%,,
4-27-00,61.3%,24.2%,14.5%,54.45%,,
5-4-00,34.8%,30.4%,34.8%,51.51%,,
5-11-00,30.2%,44.2%,25.6%,49.04%,,
5-18-00,35.3%,23.5%,41.2%,45.24%,,
5-25-00,34.9%,28.6%,36.5%,44.74%,,
6-1-00,41.7%,20.8%,37.5%,44.22%,,
6-8-00,61.5%,15.4%,23.1%,45.43%,,
6-15-00,43.8%,37.5%,18.8%,42.93%,,
6-22-00,26.7%,33.3%,40.0%,38.61%,,
7-6-00,56.1%,28.1%,15.9%,41.27%,,
7-13-00,65.0%,15.0%,20.0%,45.62%,,
7-20-00,66.7%,21.3%,12.0%,49.54%,,
7-27-00,42.9%,37.1%,20.0%,50.53%,,
8-3-00,41.3%,34.8%,23.9%,50.49%,,
8-10-00,54.1%,34.4%,11.5%,49.56%,,
8-17-00,59.4%,21.9%,18.8%,51.51%,,
8-23-00,57.7%,19.2%,23.1%,55.39%,,
8-31-00,55.9%,26.5%,17.7%,55.36%,,
9-7-00,62.5%,29.2%,8.3%,55.05%,,
9-14-00,41.2%,35.3%,23.5%,51.86%,,
9-21-00,43.8%,37.5%,18.8%,51.97%,,
9-28-00,53.3%,40.0%,6.7%,53.48%,,
10-5-00,41.9%,32.3%,25.8%,51.96%,,
10-12-00,41.5%,26.8%,31.7%,49.72%,,
10-19-00,48.9%,26.7%,24.4%,48.62%,,
10-26-00,64.1%,18.0%,18.0%,49.64%,,
11-2-00,51.6%,25.8%,22.6%,48.28%,,
11-9-00,62.9%,28.6%,8.6%,50.99%,,
11-16-00,45.8%,37.5%,16.7%,51.25%,,
11-23-00,36.5%,27.0%,36.5%,49.15%,,
11-30-00,60.4%,22.9%,16.7%,51.46%,,
12-7-00,47.1%,15.7%,37.3%,52.16%,,
12-14-00,59.6%,7.7%,32.7%,53.50%,,
12-21-00,31.1%,17.8%,51.1%,49.38%,,
12-28-00,40.0%,28.0%,32.0%,47.93%,,
1-4-01,42.6%,33.3%,24.1%,45.39%,,
1-11-01,35.7%,21.4%,42.9%,44.13%,,
1-18-01,36.6%,39.0%,24.4%,44.14%,,
1-25-01,49.2%,24.6%,26.2%,42.74%,,
2-1-01,50.0%,30.8%,19.2%,43.11%,,
2-8-01,55.6%,30.0%,14.4%,42.60%,,
2-15-01,30.4%,47.8%,21.7%,42.51%,,
2-22-01,26.3%,35.1%,38.6%,40.80%,,
3-1-01,46.0%,20.3%,33.8%,41.22%,,
3-8-01,31.6%,36.7%,31.6%,40.71%,,
3-15-01,30.9%,32.7%,36.4%,40.00%,,
3-22-01,27.8%,25.0%,47.2%,37.32%,,
3-29-01,37.3%,35.3%,27.5%,35.73%,,
4-5-01,35.1%,26.1%,38.7%,33.18%,,
4-12-01,30.3%,28.8%,40.9%,33.16%,,
4-19-01,43.8%,25.0%,31.3%,35.34%,,
4-26-01,46.6%,22.4%,31.0%,35.41%,,
5-3-01,63.5%,14.9%,21.6%,39.40%,,
5-10-01,53.3%,28.9%,17.8%,42.20%,,
5-17-01,51.8%,29.4%,18.8%,45.20%,,
5-24-01,61.9%,21.4%,16.7%,48.28%,,
5-31-01,49.4%,22.1%,28.6%,50.06%,,
6-7-01,42.6%,31.9%,25.5%,51.59%,,
6-14-01,30.5%,47.5%,22.0%,49.93%,,
6-21-01,33.3%,43.3%,23.3%,48.28%,,
6-28-01,30.4%,36.7%,32.9%,44.14%,,
7-5-01,40.7%,40.7%,18.5%,42.57%,,
7-12-01,25.3%,38.5%,36.3%,39.25%,,
7-19-01,50.0%,34.8%,15.2%,37.77%,,
7-26-01,29.5%,32.4%,38.1%,35.29%,,
8-2-01,36.4%,27.3%,36.4%,34.51%,,
8-9-01,34.9%,37.4%,27.7%,35.07%,,
8-16-01,35.4%,27.1%,37.5%,35.33%,,
8-23-01,34.5%,34.5%,31.0%,35.84%,,
8-30-01,31.4%,45.7%,22.9%,34.68%,,
9-6-01,30.3%,36.0%,33.7%,35.31%,,
9-13-01,26.7%,36.7%,36.7%,32.40%,,
9-20-01,31.1%,24.3%,44.6%,32.59%,,
9-27-01,51.1%,26.7%,22.2%,34.43%,,
10-4-01,51.2%,19.5%,29.3%,36.47%,,
10-11-01,47.4%,24.6%,28.1%,37.96%,,
10-18-01,60.6%,18.3%,21.1%,41.22%,,
10-25-01,55.9%,26.5%,17.7%,44.28%,,
11-1-01,35.0%,31.7%,33.3%,44.86%,,
11-8-01,34.6%,23.1%,42.3%,45.86%,,
11-15-01,45.5%,21.2%,33.3%,47.65%,,
11-22-01,58.3%,16.7%,25.0%,48.55%,,
11-29-01,69.3%,10.7%,20.0%,50.82%,,
12-6-01,59.2%,16.3%,24.5%,52.29%,,
12-13-01,61.4%,24.6%,14.0%,52.40%,,
12-20-01,52.5%,21.3%,26.2%,51.97%,,
12-27-01,57.7%,15.4%,26.9%,54.81%,,
1-3-02,51.1%,24.4%,24.4%,56.87%,,
1-10-02,54.8%,23.3%,21.9%,58.04%,,
1-17-02,29.6%,40.9%,29.6%,54.44%,,
1-24-02,34.7%,34.7%,30.6%,50.11%,,
1-31-02,45.5%,31.8%,22.7%,48.39%,,
2-7-02,37.5%,39.6%,22.9%,45.41%,,
2-14-02,45.2%,38.7%,16.1%,44.49%,,
2-21-02,36.4%,38.2%,25.5%,41.83%,,
2-28-02,44.4%,35.2%,20.4%,40.99%,,
3-7-02,53.3%,31.1%,15.6%,40.81%,,
3-14-02,56.5%,29.0%,14.5%,44.17%,,
3-21-02,53.2%,35.5%,11.3%,46.49%,,
3-28-02,51.2%,25.6%,23.3%,47.20%,,
4-4-02,40.5%,39.3%,20.2%,47.58%,,
4-11-02,28.2%,38.5%,33.3%,45.46%,,
4-18-02,40.2%,36.6%,23.2%,45.94%,,
4-25-02,36.7%,40.0%,23.3%,44.97%,,
5-2-02,27.0%,39.6%,33.3%,41.68%,,
5-9-02,30.3%,29.0%,40.8%,38.41%,,
5-16-02,36.8%,34.9%,28.3%,36.35%,,
5-23-02,26.2%,33.3%,40.5%,33.23%,,
5-29-02,28.3%,31.5%,40.2%,31.70%,,
6-6-02,32.8%,27.9%,39.3%,32.27%,,
6-13-02,31.8%,34.6%,33.6%,31.23%,,
6-20-02,45.7%,28.6%,25.7%,32.36%,,
6-27-02,31.0%,23.0%,46.0%,32.85%,,
7-3-02,26.6%,26.6%,46.9%,32.39%,,
7-11-02,35.1%,22.7%,42.3%,32.17%,,
7-18-02,26.3%,20.0%,53.8%,32.18%,,
7-25-02,27.9%,23.3%,48.8%,32.13%,,
8-1-02,34.2%,34.2%,31.6%,32.31%,,
8-8-02,37.7%,23.0%,39.3%,33.05%,,
8-15-02,37.9%,20.7%,41.4%,32.07%,,
8-22-02,43.8%,16.7%,39.6%,33.67%,,
8-29-02,50.0%,21.0%,29.0%,36.60%,,
9-5-02,31.5%,18.5%,50.0%,36.15%,,
9-12-02,38.4%,24.7%,37.0%,37.67%,,
9-19-02,33.8%,23.0%,43.2%,38.40%,,
9-26-02,24.5%,28.4%,47.1%,37.19%,,
10-3-02,35.2%,16.9%,47.9%,36.88%,,
10-10-02,28.9%,16.4%,54.8%,35.74%,,
10-17-02,39.5%,21.1%,39.5%,35.21%,,
10-24-02,44.6%,21.7%,33.7%,34.53%,,
10-31-02,51.5%,20.6%,27.9%,37.03%,,
11-7-02,50.0%,23.7%,26.3%,38.48%,,
11-14-02,48.7%,18.9%,32.4%,40.34%,,
11-21-02,50.6%,28.1%,21.4%,43.60%,,
11-28-02,51.1%,17.0%,31.9%,45.58%,,
12-5-02,52.9%,29.4%,17.7%,48.59%,,
12-12-02,41.4%,34.5%,24.1%,48.83%,,
12-19-02,42.9%,27.1%,30.0%,48.62%,,
12-26-02,40.0%,28.0%,32.0%,47.18%,,
1-2-03,32.4%,29.7%,37.8%,44.99%,,
1-9-03,38.1%,19.1%,42.9%,43.67%,,
1-16-03,29.2%,41.7%,29.2%,40.99%,,
1-23-03,25.0%,31.8%,43.2%,37.74%,,
1-30-03,25.5%,26.6%,47.9%,34.31%,,
2-6-03,22.9%,51.4%,25.7%,31.99%,,
2-13-03,21.9%,40.0%,38.1%,29.37%,,
2-20-03,21.1%,21.1%,57.9%,27.01%,,
2-27-03,26.0%,26.8%,47.2%,26.20%,,
3-6-03,33.3%,27.3%,39.4%,25.61%,,
3-13-03,34.3%,14.3%,51.4%,26.25%,,
3-20-03,42.9%,19.1%,38.1%,28.48%,,
3-27-03,39.4%,27.9%,32.7%,30.22%,,
4-3-03,32.4%,29.4%,38.2%,31.40%,,
4-10-03,38.5%,30.8%,30.8%,33.47%,,
4-17-03,46.3%,22.2%,31.5%,36.63%,,
4-24-03,63.0%,18.0%,19.0%,41.25%,,
5-1-03,48.6%,25.7%,25.7%,43.16%,,
5-8-03,52.8%,28.8%,18.4%,45.47%,,
5-15-03,62.8%,20.9%,16.3%,47.96%,,
5-22-03,38.5%,26.0%,35.6%,47.84%,,
5-29-03,62.9%,22.9%,14.3%,51.66%,,
6-5-03,52.0%,28.8%,19.2%,53.35%,,
6-12-03,50.0%,20.8%,29.2%,53.81%,,
6-19-03,56.4%,7.7%,35.9%,52.99%,,
6-26-03,71.4%,20.0%,8.6%,55.84%,,
7-3-03,41.2%,23.5%,35.3%,54.39%,,
7-10-03,43.2%,25.7%,31.1%,51.95%,,
7-17-03,51.3%,20.2%,28.6%,53.55%,,
7-24-03,52.0%,17.3%,30.7%,52.19%,,
7-31-03,51.5%,32.3%,16.2%,52.13%,,
8-7-03,45.5%,22.1%,32.5%,51.56%,,
8-14-03,50.6%,25.8%,23.6%,50.83%,,
8-21-03,63.0%,18.5%,18.5%,49.77%,,
8-28-03,56.7%,20.6%,22.7%,51.71%,,
9-4-03,62.3%,21.3%,16.4%,54.10%,,
9-11-03,58.1%,24.4%,17.4%,54.96%,,
9-18-03,62.8%,17.7%,19.6%,56.30%,,
9-25-03,57.3%,20.4%,22.3%,57.02%,,
10-2-03,50.0%,21.4%,28.6%,57.59%,,
10-9-03,57.6%,19.2%,23.2%,58.46%,,
10-16-03,60.3%,25.9%,13.8%,58.14%,,
10-23-03,52.8%,30.6%,16.7%,57.65%,,
10-30-03,57.8%,23.4%,18.8%,57.09%,,
11-6-03,57.6%,25.8%,16.7%,57.02%,,
11-13-03,53.3%,32.2%,14.4%,55.84%,,
11-20-03,53.2%,25.8%,21.0%,55.33%,,
11-27-03,60.4%,18.9%,20.8%,56.63%,,
12-4-03,69.4%,16.2%,14.4%,58.10%,,
12-11-03,55.3%,23.7%,21.1%,57.47%,,
12-18-03,60.2%,20.4%,19.4%,58.40%,,
12-26-03,65.5%,17.2%,17.2%,59.36%,,
1-1-04,62.4%,24.1%,13.5%,59.96%,,
1-8-04,67.2%,14.9%,17.9%,61.69%,,
1-15-04,66.3%,23.6%,10.1%,63.32%,,
1-22-04,69.5%,17.1%,13.4%,64.47%,,
1-29-04,56.9%,28.1%,15.0%,62.90%,,
2-5-04,50.9%,27.3%,21.8%,62.36%,,
2-12-04,56.1%,29.3%,14.6%,61.85%,,
2-19-04,56.5%,22.6%,21.0%,60.71%,,
2-26-04,41.6%,27.9%,30.5%,58.11%,,
3-4-04,47.8%,39.1%,13.0%,55.69%,,
3-11-04,41.3%,25.2%,33.6%,52.57%,,
3-18-04,38.6%,35.1%,26.3%,48.71%,,
3-25-04,31.5%,25.9%,42.6%,45.53%,,
4-1-04,55.2%,22.4%,22.4%,46.06%,,
4-8-04,58.8%,21.0%,20.3%,46.40%,,
4-15-04,63.8%,22.5%,13.8%,47.31%,,
4-22-04,50.0%,27.5%,22.5%,48.36%,,
4-29-04,50.0%,28.8%,21.2%,48.63%,,
5-6-04,39.0%,33.9%,27.1%,48.35%,,
5-13-04,32.9%,23.7%,43.4%,47.63%,,
5-20-04,36.7%,23.3%,40.0%,48.28%,,
5-27-04,36.1%,23.6%,40.3%,45.90%,,
6-3-04,33.3%,40.5%,26.2%,42.72%,,
6-10-04,55.3%,29.0%,15.8%,41.66%,,
6-17-04,41.4%,30.5%,28.1%,40.58%,,
6-24-04,56.4%,20.5%,23.1%,41.38%,,
7-1-04,57.0%,27.3%,15.8%,43.63%,,
7-8-04,55.1%,23.5%,21.4%,46.41%,,
7-15-04,47.4%,29.0%,23.7%,47.75%,,
7-22-04,35.7%,40.5%,23.8%,47.70%,,
7-29-04,34.0%,30.0%,36.0%,47.78%,,
8-5-04,31.0%,35.2%,33.8%,44.75%,,
8-12-04,38.6%,21.4%,40.0%,44.39%,,
8-19-04,34.9%,30.2%,34.9%,41.70%,,
8-26-04,41.5%,33.1%,25.4%,39.77%,,
9-2-04,41.5%,30.2%,28.3%,38.07%,,
9-9-04,50.5%,25.7%,23.8%,38.46%,,
9-16-04,45.5%,22.7%,31.8%,39.68%,,
9-23-04,51.2%,22.0%,26.8%,41.83%,,
9-30-04,41.1%,19.6%,39.3%,43.09%,,
10-7-04,56.9%,23.4%,19.7%,45.38%,,
10-14-04,44.7%,27.1%,28.2%,46.61%,,
10-21-04,42.5%,28.8%,28.8%,46.73%,,
10-28-04,42.3%,26.0%,31.7%,46.83%,,
11-4-04,57.1%,20.0%,22.9%,47.66%,,
11-11-04,62.5%,15.9%,21.6%,49.79%,,
11-18-04,64.1%,13.5%,22.4%,51.41%,,
11-24-04,49.5%,23.7%,26.8%,52.46%,,
12-2-04,56.8%,17.8%,25.4%,52.44%,,
12-9-04,51.4%,23.4%,25.2%,53.27%,,
12-16-04,52.5%,28.3%,19.2%,54.52%,,
12-23-04,60.2%,21.6%,18.2%,56.76%,,
12-30-04,57.7%,24.8%,17.5%,56.83%,,
1-6-05,38.1%,27.4%,34.5%,53.78%,,
1-13-05,34.0%,26.1%,39.9%,50.01%,,
1-20-05,33.7%,32.7%,33.7%,48.04%,,
1-27-05,26.4%,37.1%,36.4%,44.24%,,
2-3-05,41.7%,33.3%,25.0%,43.03%,,
2-10-05,43.8%,33.3%,22.9%,41.94%,,
2-17-05,36.4%,33.8%,29.9%,38.95%,,
2-24-05,31.8%,36.4%,31.8%,35.72%,,
3-3-05,39.5%,33.3%,27.2%,35.90%,,
3-10-05,49.7%,25.5%,24.8%,37.86%,,
3-17-05,32.5%,35.1%,32.5%,37.71%,,
3-24-05,23.2%,34.8%,41.9%,37.31%,,
3-31-05,28.4%,20.6%,51.0%,35.65%,,
4-7-05,27.7%,28.4%,43.9%,33.65%,,
4-14-05,16.5%,41.8%,41.8%,31.17%,,
4-21-05,36.8%,30.3%,32.9%,31.80%,,
4-28-05,29.8%,35.5%,34.7%,30.58%,,
5-5-05,28.6%,26.5%,44.9%,27.94%,,
5-12-05,30.5%,33.1%,36.4%,27.70%,,
5-19-05,38.92%,32.43%,28.65%,29.66%,,
5-26-05,44.14%,32.43%,23.42%,31.62%,,
6-2-05,48.61%,31.94%,19.44%,34.23%,,
6-9-05,45.98%,34.48%,19.54%,37.92%,,
6-16-05,48.05%,33.12%,18.83%,39.32%,,
6-23-05,46.59%,35.23%,18.18%,41.42%,,
6-30-05,45.89%,24.66%,29.45%,43.59%,,
7-7-05,43.01%,36.56%,20.43%,45.15%,,
7-14-05,57.89%,28.07%,14.04%,47.52%,,
7-21-05,41.18%,31.37%,27.45%,47.15%,,
7-28-05,57.52%,24.84%,17.65%,48.26%,,
8-4-05,47.83%,26.09%,26.09%,48.50%,,
8-11-05,39.74%,31.41%,28.85%,47.46%,,
8-18-05,29.29%,30.30%,40.40%,45.29%,,
8-25-05,36.14%,32.53%,31.33%,44.08%,,
9-1-05,31.76%,30.59%,37.65%,42.67%,,
9-8-05,42.31%,25.00%,32.69%,40.72%,,
9-15-05,51.43%,20.00%,28.57%,42.00%,,
9-22-05,39.47%,28.07%,32.46%,39.75%,,
9-29-05,31.88%,28.99%,39.13%,37.75%,,
10-6-05,50.00%,22.58%,27.42%,39.04%,,
10-13-05,38.96%,12.99%,48.05%,40.24%,,
10-20-05,43.11%,20.96%,35.93%,41.12%,,
10-27-05,32.05%,21.79%,46.15%,41.15%,,
11-3-05,42.95%,29.49%,27.56%,41.23%,,
11-10-05,58.62%,18.39%,22.99%,42.13%,,
11-17-05,53.63%,24.58%,21.79%,43.90%,,
11-24-05,57.33%,26.67%,16.00%,47.08%,,
12-1-05,52.47%,24.07%,23.46%,47.39%,,
12-8-05,49.47%,31.58%,18.95%,48.70%,,
12-15-05,46.15%,31.73%,22.12%,49.08%,,
12-22-05,41.03%,30.77%,28.21%,50.21%,,
12-29-05,37.30%,26.19%,36.51%,49.50%,,
1-5-06,29.35%,30.43%,40.22%,45.84%,,
1-12-06,58.96%,21.97%,19.08%,46.51%,,
1-19-06,50.00%,24.17%,25.83%,45.59%,,
1-26-06,30.77%,35.90%,33.33%,42.88%,,
2-2-06,44.70%,21.97%,33.33%,42.28%,,
2-9-06,40.19%,25.23%,34.58%,41.54%,,
2-16-06,40.18%,24.11%,35.71%,41.43%,,
2-23-06,43.21%,28.40%,28.40%,42.17%,,
3-2-06,40.94%,29.92%,29.13%,43.62%,,
3-9-06,41.21%,28.02%,30.77%,41.40%,,
3-16-06,46.55%,20.69%,32.76%,40.97%,,
3-23-06,43.75%,28.75%,27.50%,42.59%,,
3-30-06,37.21%,30.23%,32.56%,41.66%,,
4-6-06,47.67%,29.07%,23.26%,42.59%,,
4-13-06,45.36%,26.80%,27.84%,43.24%,,
4-20-06,33.73%,25.44%,40.83%,42.05%,,
4-27-06,42.11%,21.93%,35.96%,42.20%,,
5-4-06,45.89%,20.55%,33.56%,42.78%,,
5-11-06,54.90%,17.65%,27.45%,43.83%,,
5-18-06,39.39%,16.97%,43.64%,43.28%,,
5-25-06,33.04%,21.43%,45.54%,42.76%,,
6-1-06,30.77%,19.23%,50.00%,40.65%,,
6-8-06,26.23%,28.69%,45.08%,38.26%,,
6-15-06,26.41%,18.61%,54.98%,37.34%,,
6-22-06,34.40%,24.00%,41.60%,36.38%,,
6-29-06,38.60%,21.64%,39.77%,35.47%,,
7-6-06,37.70%,19.67%,42.62%,33.32%,,
7-13-06,36.50%,24.09%,39.42%,32.96%,,
7-20-06,23.85%,18.35%,57.80%,31.81%,,
7-27-06,34.88%,22.09%,43.02%,32.32%,,
8-3-06,31.46%,21.35%,47.19%,32.98%,,
8-10-06,36.59%,21.95%,41.46%,34.25%,,
8-17-06,30.53%,33.68%,35.79%,33.76%,,
8-24-06,39.35%,23.23%,37.42%,33.86%,,
8-31-06,41.57%,32.58%,25.84%,34.34%,,
9-7-06,42.99%,27.10%,29.91%,35.15%,,
9-14-06,47.95%,13.70%,38.36%,38.17%,,
9-21-06,47.75%,18.02%,34.23%,39.77%,,
9-28-06,51.32%,15.79%,32.89%,42.26%,,
10-5-06,37.78%,15.56%,46.67%,42.41%,,
10-12-06,48.98%,13.27%,37.76%,44.71%,,
